Companies,Mean,Standard Dev,Coefficient of Var
OILCF,0.002440945,0.034657299,14.198312983283631
AWK,-0.13496063,1.4988903370642177,-11.10613027
COAL,-0.081052756,0.3766548828305847,-4.647033634
CPCPF,-0.000708661,0.008246317,-11.63646885
