Date,Close,Volume,Open,High,Low,Company
10/1/24,0.06,N/A,0.06,$0.06 ,$0.06 ,CPCPF
9/30/24,0.06,14500,0.06,$0.06 ,$0.06 ,CPCPF
9/27/24,0.06,N/A,0.06,$0.06 ,$0.06 ,CPCPF
9/26/24,0.06,650,0.06,$0.06 ,$0.06 ,CPCPF
9/25/24,0.06,254029,0.04,$0.06 ,$0.04 ,CPCPF
9/24/24,0.05,85160,0.04,$0.05 ,$0.04 ,CPCPF
9/23/24,0.04,94109,0.05,$0.05 ,$0.04 ,CPCPF
9/20/24,0.05,21892,0.05,$0.05 ,$0.05 ,CPCPF
9/19/24,0.06,75228,0.06,$0.06 ,$0.04 ,CPCPF
9/18/24,0.05,63248,0.06,$0.07 ,$0.05 ,CPCPF
9/17/24,0.06,167512,0.06,$0.06 ,$0.06 ,CPCPF
9/16/24,0.06,21290,0.06,$0.06 ,$0.06 ,CPCPF
9/13/24,0.06,71863,0.07,$0.07 ,$0.06 ,CPCPF
9/12/24,0.06,31668,0.06,$0.06 ,$0.06 ,CPCPF
9/11/24,0.06,26150,0.06,$0.06 ,$0.06 ,CPCPF
9/10/24,0.06,5300,0.06,$0.06 ,$0.06 ,CPCPF
9/9/24,0.06,35450,0.07,$0.07 ,$0.06 ,CPCPF
9/6/24,0.07,2120,0.07,$0.07 ,$0.07 ,CPCPF
9/5/24,0.08,16000,0.08,$0.08 ,$0.08 ,CPCPF
9/4/24,0.07,25050,0.08,$0.08 ,$0.07 ,CPCPF
9/3/24,0.07,310050,0.08,$0.08 ,$0.07 ,CPCPF
8/30/24,0.07,36000,0.08,$0.11 ,$0.07 ,CPCPF
8/29/24,0.08,67600,0.08,$0.09 ,$0.07 ,CPCPF
8/28/24,0.07,50000,0.07,$0.07 ,$0.07 ,CPCPF
8/27/24,0.08,227880,0.06,$0.08 ,$0.06 ,CPCPF
8/26/24,0.06,397500,0.04,$0.07 ,$0.04 ,CPCPF
8/23/24,0.03,N/A,0.03,$0.03 ,$0.03 ,CPCPF
8/22/24,0.03,N/A,0.03,$0.03 ,$0.03 ,CPCPF
8/21/24,0.03,70000,0.03,$0.04 ,$0.03 ,CPCPF
8/20/24,0.03,22800,0.04,$0.04 ,$0.03 ,CPCPF
